"Inicio del intervalo,""Fin del intervalo"",""Intervalo completo"",""Filtros"",""Tipo de medios"",""Acumulado o detallado"",""ID de código de conclusión"",""Nombre de código de conclusión"",""ID de cola"",""Nombre de cola"",""Manejo medio"",""Conversación media"",""Retención media"",""ACW medio"",""Manejo total"",""Conversación total"",""Retención total"",""Total de ACW"",""Retención"",""Manejo"",""% de manejo"",""% de manejo total"",""% de tiempo total de conversación"",""Máximo de manejos"",""Mínimo de manejos"",""Máximo de conversaciones"",""Mínimo de conversaciones"",""Máximo de retenciones"",""Mínimo de retenciones"",""Máximo de ACW"",""Mínimo de ACW"",""Conversación"",""ACW"",""Detener"",""Total de detenciones"",""Media de detenciones"",""Máximo de detenciones"",""Mínimo de detenciones"""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Acumulado"",""dd21f0a1-6c80-401f-a022-124399b02068"",""Bloqueo y desbloqueo por hurto - 611"","""","""",""53987"",""36313"","""",""10156.333333333334"",""161961"",""72626"","""",""30469"","""",""3"",""0.0007804370447450572"",""0.0004497818411855952"",""0.000317781573251744"",""71114"",""21051"",""51201"",""21425"","""","""",""10165"",""10145"",""2"",""3"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Detallado"",""dd21f0a1-6c80-401f-a022-124399b02068"",""Bloqueo y desbloqueo por hurto - 611"",""b7169a87-a54c-4beb-ac31-106168eedaea"",""Salientes_Reclamos_Movil"",""53987"",""36313"","""",""10156.333333333334"",""161961"",""72626"","""",""30469"","""",""3"",""0.0007804370447450572"",""0.0004497818411855952"",""0.000317781573251744"",""71114"",""21051"",""51201"",""21425"","""","""",""10165"",""10145"",""2"",""3"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Acumulado"",""a448335a-02bf-4ede-8d34-255e926c16b7"",""Cancelaciones - 611"","""","""",""85202.27777777778"",""59374.529411764706"","""",""10141.166666666666"",""1533641"",""1009367"","""",""182541"","""",""18"",""0.004682622268470343"",""0.00425907392951215"",""0.004416575788951519"",""236921"",""19517"",""215537"",""5365"","""","""",""10171"",""10125"",""17"",""18"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Detallado"",""a448335a-02bf-4ede-8d34-255e926c16b7"",""Cancelaciones - 611"",""b7169a87-a54c-4beb-ac31-106168eedaea"",""Salientes_Reclamos_Movil"",""85202.27777777778"",""59374.529411764706"","""",""10141.166666666666"",""1533641"",""1009367"","""",""182541"","""",""18"",""0.004682622268470343"",""0.00425907392951215"",""0.004416575788951519"",""236921"",""19517"",""215537"",""5365"","""","""",""10171"",""10125"",""17"",""18"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Acumulado"",""074d5023-83e5-45aa-a5ea-4803e70490e4"",""Cliente no responde, llamada molesta - 611"","""","""",""57047.63510848126"",""19561.931769722814"",""222353.5"",""10150.83234714004"",""28923151"",""9174546"",""444707"",""5146472"",""2"",""507"",""0.13189386056191468"",""0.0803224733711757"",""0.04014404843651715"",""930805"",""11583"",""901416"",""524"",""322777"",""121930"",""10241"",""10103"",""469"",""507"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Detallado"",""074d5023-83e5-45aa-a5ea-4803e70490e4"",""Cliente no responde, llamada molesta - 611"",""b7169a87-a54c-4beb-ac31-106168eedaea"",""Salientes_Reclamos_Movil"",""57047.63510848126"",""19561.931769722814"",""222353.5"",""10150.83234714004"",""28923151"",""9174546"",""444707"",""5146472"",""2"",""507"",""0.13189386056191468"",""0.0803224733711757"",""0.04014404843651715"",""930805"",""11583"",""901416"",""524"",""322777"",""121930"",""10241"",""10103"",""469"",""507"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Acumulado"",""915e9899-c4c3-4d5c-be7b-97fb1d2871a8"",""Cliente retenido - 611"","""","""",""70246.33333333333"",""77521"","""",""10138.333333333334"",""210739"",""155042"","""",""30415"","""",""3"",""0.0007804370447450572"",""0.000585243209350468"",""0.0006784001690867856"",""138876"",""12327"",""112843"",""42199"","""","""",""10166"",""10121"",""2"",""3"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Detallado"",""915e9899-c4c3-4d5c-be7b-97fb1d2871a8"",""Cliente retenido - 611"",""b7169a87-a54c-4beb-ac31-106168eedaea"",""Salientes_Reclamos_Movil"",""70246.33333333333"",""77521"","""",""10138.333333333334"",""210739"",""155042"","""",""30415"","""",""3"",""0.0007804370447450572"",""0.000585243209350468"",""0.0006784001690867856"",""138876"",""12327"",""112843"",""42199"","""","""",""10166"",""10121"",""2"",""3"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Acumulado"",""9a03add7-d369-4dfb-9f0b-033ea7127746"",""Configuraciones - 611"","""","""",""170239.75"",""140993.5"",""49139"",""10152.020833333334"",""8171508"",""6767688"",""49139"",""487297"",""1"",""48"",""0.012486992715920915"",""0.02269309224753379"",""0.02961262550487358"",""752078"",""27135"",""729142"",""574"",""49139"",""49139"",""10194"",""10115"",""48"",""48"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Detallado"",""9a03add7-d369-4dfb-9f0b-033ea7127746"",""Configuraciones - 611"",""b7169a87-a54c-4beb-ac31-106168eedaea"",""Salientes_Reclamos_Movil"",""170239.75"",""140993.5"",""49139"",""10152.020833333334"",""8171508"",""6767688"",""49139"",""487297"",""1"",""48"",""0.012486992715920915"",""0.02269309224753379"",""0.02961262550487358"",""752078"",""27135"",""729142"",""574"",""49139"",""49139"",""10194"",""10115"",""48"",""48"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Acumulado"",""e956b9f8-aa58-46dc-80bc-12724b526549"",""Consulta a otros servicios de Antel - 611"","""","""",""102101.87640449438"",""72148.2183908046"",""133692"",""10154.191011235955"",""9087067"",""6276895"",""133692"",""903723"",""1"",""89"",""0.02315296566077003"",""0.025235690852963757"",""0.027465116738303163"",""477846"",""16217"",""444098"",""2836"",""133692"",""133692"",""10209"",""10115"",""87"",""89"","""","""","""","""","""""
